"Relative path","Date","Size","Compression Ratio","Encoder","library","Time to Encode","Codec","level","preset","Qualtiy/crf","cqp","AQ","Lookahead","b frames","b ref mode"
"test20.mkv",12/5/2022 0:06,"165,178,477",30.9072386712949,"handbrake","x265",1:02:32,"h.265","auto","slow",28,,,25,4,
"test21.mkv",12/5/2022 0:20,"217,591,441",23.4623686875625,"handbrake","x264",0:13:58,"h.264",3.1,"medium",28,,,,,
"test10.mkv",12/4/2022 20:27,"353,531,237",14.4406210192962,"nvencc","nvencc",0:02:31,"h.265","auto","P7",,20:28:28,"on",32,0,"disabled"
"test01.mkv",12/4/2022 19:37,"357,186,733",14.2928338046643,"nvencc","nvencc",0:01:51,"h.265","auto","P1",,24:28:28,"off",32,0,"disabled"
"test08.mkv",12/5/2022 11:25,"357,499,168",14.2803426384478,"nvencc","nvencc",0:02:06,"h.265","auto","P4",,20:28:28,"on",32,0,"disabled"
"test09.mkv",12/4/2022 20:23,"372,688,029",13.6983487924159,"nvencc","nvencc",0:02:09,"h.265","auto","P1",,20:28:28,"on",32,0,"disabled"
"test17.mkv",12/4/2022 21:07,"407,170,602",12.538259360876,"nvencc","nvencc",0:02:00,"h.264","auto","P4",,20:28:28,"off",0,3,"disabled"
"test13.mkv",12/4/2022 20:44,"414,758,133",12.3088860851826,"nvencc","nvencc",0:02:12,"h.264","auto","P4",,20:28:28,"on",32,3,"disabled"
"test14.mkv",12/4/2022 20:58,"415,904,717",12.2749524189696,"nvencc","nvencc",0:02:54,"h.264","auto","P7",,20:28:28,"on",32,3,"disabled"
"test22.mkv",12/5/2022 0:25,"427,046,059",11.9547072368604,"handbrake","nvenc_h264",0:04:24,"h.264","auto","medium",28,,,,,
"test16.mkv",12/4/2022 21:05,"428,304,164",11.919591358444,"nvencc","nvencc",0:02:13,"h.s64","auto","P4",,20:28:28,"on",32,3,"each"
"test15.mkv",12/4/2022 21:02,"431,311,989",11.8364681302657,"nvencc","nvencc",0:02:18,"h.264","auto","P4",,20:28:28,"on",32,4,"disabled"
"test18.mkv",12/4/2022 22:45,"453,180,456",11.2652929851856,"handbrake","x265",1:28:14,"h.265","auto","slow",20,,,25,4,
"test23.mkv",12/5/2022 0:30,"473,814,634",10.7747001583746,"handbrake","nvenc_h265",0:04:58,"h.265","auto","medium",28,,,,,
"test24.mkv",,"476,862,830",10.7058262687406,"handbrake","nvenc_h265",0:05:19,"h.265","auto","medium",28,,,,,
"test22_2.mkv",,"485,119,066",10.5236239302951,"ffmpeg","h264_nvenc",0:02:13,"h.264",,"medium",28,,,,,
"test19.mkv",12/4/2022 23:04,"591,502,476",8.63092010455084,"handbrake","x264",0:19:05,"h.264",3.1,"medium",20,,,,,
"test11.mkv",12/4/2022 20:30,"615,034,372",8.30069154574015,"nvencc","nvencc",0:02:00,"h.264","auto","P4",,20:23:25,"off",0,3,"disabled"
"test05.mkv",12/4/2022 20:06,"634,038,978",8.05188764278148,"nvencc","nvencc",0:02:25,"h.265","auto","P7",,20:23:25,"off",0,0,"disabled"
"test12.mkv",12/4/2022 20:33,"635,505,228",8.03331017128942,"nvencc","nvencc",0:02:12,"h.264","auto","P4",,20:23:25,"on",32,3,"disabled"
"test06.mkv",12/4/2022 20:09,"640,328,575",7.97279835902997,"nvencc","nvencc",0:02:13,"h.265","auto","P4",,20:23:25,"off",32,0,"disabled"
"test02.mkv",12/4/2022 19:46,"642,378,626",7.94735441898093,"nvencc","nvencc",0:01:50,"h.265","auto","P4",,20:23:25,"off",0,0,"disabled"
"test03.mkv",12/4/2022 19:49,"642,378,626",7.94735441898093,"nvencc","nvencc",0:01:50,"h.265","auto","P4",,20:23:25,"off",0,0,"disabled"
"test04.mkv",12/4/2022 20:01,"673,475,955",7.58039032291806,"nvencc","nvencc",0:01:49,"h.265","auto","P1",,20:23:25,"off",0,0,"disabled"
"test07.mkv",12/4/2022 20:15,"678,693,704",7.52211282042481,"nvencc","nvencc",0:02:07,"h.265","auto","P4",,20:23:25,"on",32,0,"disabled"
"Just Video.mkv",12/20/2022 10:50,"5,105,210,612",1,,,"-","-","-","-",,"-","-",,,
